"SaleID","SaleDate","CustomerID","SaleAmount","InvoiceSentDate","EmailFollowUpDate","PhoneCallFollow-UpDate","CollectionDate","WriteOffDate","BestCollectionApproach"
"S3431",2021-01-04,"C001",316.010009765625,2021-01-05,2021-01-14,2021-01-24,NA,2021-05-04,NA
"S3502",2021-02-02,"C001",343.239990234375,2021-02-03,2021-02-12,2021-02-22,2021-03-20,NA,NA
"S3531",2021-02-11,"C001",958.739990234375,2021-02-12,2021-02-21,2021-03-03,2021-04-30,NA,NA
"S3579",2021-03-02,"C001",406.440002441406,2021-03-03,2021-03-12,2021-03-22,2021-04-29,NA,NA
"S3611",2021-03-12,"C001",279.910003662109,2021-03-13,2021-03-22,2021-04-01,NA,2021-07-10,NA
"S3637",2021-03-20,"C001",458.100006103516,2021-03-21,2021-03-30,2021-04-09,NA,2021-07-18,NA
"S3654",2021-03-26,"C001",706.099975585938,2021-03-27,2021-04-05,2021-04-15,2021-05-23,NA,NA
"S3874",2021-06-17,"C001",547.070007324219,2021-06-18,2021-06-27,2021-07-07,2021-07-15,NA,NA
"S3982",2021-07-23,"C001",907.219970703125,2021-07-24,2021-08-02,2021-08-12,2021-10-08,NA,NA
"S4041",2021-08-15,"C001",227.800003051758,2021-08-16,2021-08-25,2021-09-04,2021-10-20,NA,NA
"S4159",2021-09-26,"C001",723.090026855469,2021-09-27,2021-10-06,2021-10-16,2021-11-29,NA,NA
"S4385",2021-12-16,"C001",538.989990234375,2021-12-17,2021-12-26,2022-01-05,2022-02-06,NA,NA
"S4432",2022-01-05,"C001",830.190002441406,2022-01-06,2022-01-15,2022-01-25,2022-02-11,NA,NA
"S4574",2022-02-28,"C001",407.929992675781,2022-03-01,2022-03-10,2022-03-20,NA,2022-06-28,NA
"S4627",2022-03-20,"C001",1001.25,2022-03-21,2022-03-30,2022-04-09,2022-06-05,NA,NA
"S4662",2022-03-28,"C001",352.929992675781,2022-03-29,2022-04-07,2022-04-17,2022-05-19,NA,NA
